employees,volume,eps,profit,income,cash,liab,assets,cap,shares,ticker
44000,789446,1.17,8098000000,1766000000,835000000,44299000000,76249000000,64534888448,652196992,FISV
9700,95112,2.82,2273917000,1108808000,1520027000,10538073000,13404653000,18691225600,77886600,FLT
6400,479674,1.53,2171700000,893800000,516800000,7529400000,10581300000,16486947840,125893000,FMC
183000,30125583,0.89,16507000000,17780000000,9577000000,208413000000,257035000000,67151278080,3933400064,F
10195,380865,0.81,2559200000,620800000,1319100000,5120700000,5919100000,52845416448,160815008,FTNT
18000,958972,0.63,3009900000,677500000,819300000,6948500000,16465500000,21845573632,359065984,FTV
28000,796131,1.36,2752700000,1005100000,471500000,4871400000,7936200000,10522910720,132347000,FBHS
9000,699344,0.88,4872000000,2918000000,5886000000,11540000000,22926000000,21982449664,315806016,FOXA
9000,199653,0.54,4872000000,2918000000,5886000000,11540000000,22926000000,21976989696,247096000,FOX
10400,927157,0.79,3539200000,2444200000,4357800000,11424800000,24168400000,13773261824,502124000,BEN
24700,5309884,0.51,10813000000,7664000000,8068000000,25003000000,48022000000,73102696448,1454780032,FCX
39000,289606,2.02,2942300000,975100000,402600000,24784900000,33345000000,34480332800,208542000,AJG
16600,139367,2.0,3289869000,969870000,756493000,7045266000,7416324000,24027920384,82287400,IT
168000,1973027,0.24,18411000000,-3682000000,13470000000,157262000000,198874000000,103404748800,1101750016,GE
8955,158257,2.38,1360082000,691526000,147339000,2605643000,4877780000,20678676480,63783700,GNRC
103100,634390,2.48,6408000000,3873000000,1603000000,32432000000,50073000000,66253185024,277697984,GD
35000,4584606,0.82,6450600000,2975100000,1505200000,21463800000,31841900000,38665568256,603206976,GIS
52000,143179,1.5,6634136000,1200346000,714701000,10848812000,14352102000,18023012352,141947008,GPC
14400,3403808,2.08,21779000000,8278000000,5338000000,46888000000,67952000000,74236559360,1253890048,GILD
3222,147317,1.53,1317905000,912390000,92163000,21125242000,29768048000,9927707648,99177904,GL
25000,384194,1.82,4788237000,1156898000,1979308000,19410296000,45279713000,37886496768,281684000,GPN
157000,6979918,2.25,18079000000,12716000000,16067000000,178903000000,244718000000,64150835200,1453020032,GM
43900,879540,18.6,52699000000,27044000000,261036000000,1353222000000,1463988000000,113907752960,337924992,GS
22700,74473,4.48,4720000000,1485000000,241000000,4432000000,6592000000,25672212480,51102200,GWW
40000,4760075,0.19,2016000000,1252000000,3044000000,15593000000,22321000000,33970515968,898572032,HAL
18100,317965,0.56,7940000000,2896000000,205000000,58735000000,76578000000,23616583680,331647008,HIG
6640,417897,1.0,3243900000,581900000,983400000,6950800000,10037800000,11998066688,138960000,HAS
204000,587435,4.14,22492000000,9833000000,1451000000,49253000000,50742000000,79045287936,303600000,HCA
196,1060521,0.27,1127375000,134467000,158287000,8111415000,15257519000,17962651648,539500032,PEAK
21600,490474,1.24,3672251000,857875000,117965000,3804587000,8481091000,12050647040,137172992,HSIC
16620,218852,1.92,4053818000,1797224000,329266000,7655002000,10412231000,42538455040,145628000,HSY
1545,986214,0.82,5267000000,1490000000,2713000000,13489000000,20515000000,32315799552,309745984,HES
60400,3114506,0.46,9376000000,3587000000,3098000000,37682000000,57699000000,22199891968,1300140032,HPE
142000,577774,0.02,1765000000,560000000,1427000000,16260000000,15441000000,41715929088,279139008,HLT
6705,807817,2.59,4074800000,2361100000,1170300000,4701300000,8919900000,18771298304,249984000,HOLX
